cue,stim_left,stim_right,feedback,correct,is_valid,loopTraining.thisRepN,loopTraining.thisTrialN,loopTraining.thisN,loopTraining.thisIndex,textWelcome.started,textWelcome.stopped,mouseWelcome.x,mouseWelcome.y,mouseWelcome.leftButton,mouseWelcome.midButton,mouseWelcome.rightButton,mouseWelcome.started,mouseWelcome.stopped,text.started,text.stopped,pic_cue.started,pic_cue.stopped,pic_left.started,pic_left.stopped,pic_right.started,pic_right.stopped,key.x,key.y,key.leftButton,key.midButton,key.rightButton,key.time,key.clicked_name,key.started,key.stopped,key.corr,textFeedback.started,textFeedback.stopped,textGoodbye.started,textGoodbye.stopped,mouseGoodbye.x,mouseGoodbye.y,mouseGoodbye.leftButton,mouseGoodbye.midButton,mouseGoodbye.rightButton,mouseGoodbye.started,mouseGoodbye.stopped,participant,session,date,expName,psychopyVersion,frameRate,
images/m1.jpg,images/squared.jpg,images/round.jpg,['pic_right'],['pic_right'],valid,0,11,11,11,,,,,,,,,,60.50877423095517,None,61.031805481994525,None,62.038757097907364,None,62.038757097907364,None,0.1375,-0.3046875,1,0,0,1.204444824019447,pic_right,0.9992030838038772,None,1,63.22876785998233,None,,,,,,,,,,,001,2021_Nov_02_1209,prep_only,2021.2.3,50.80488913211756,
images/m1.jpg,images/round.jpg,images/squared.jpg,['pic_left'],['pic_left'],valid,0,12,12,12,,,,,,,,,,65.22871650685556,None,65.7528429129161,None,66.76095402706414,None,66.76095402706414,None,-0.15,-0.3,1,0,0,0.9455576289910823,pic_left,1.018363862298429,None,1,67.71211009193212,None,,,,,,,,,,,001,2021_Nov_02_1209,prep_only,2021.2.3,50.80488913211756,
images/m1.jpg,images/round.jpg,images/squared.jpg,['pic_left'],['pic_left'],valid,0,13,13,13,,,,,,,,,,69.7087890249677,None,70.22385013103485,None,71.22089541703463,None,71.22089541703463,None,-0.1921875,-0.253125,1,0,0,1.4636700209230185,pic_left,1.0116342031396925,None,1,72.69000441906974,None,,,,,,,,,,,001,2021_Nov_02_1209,prep_only,2021.2.3,50.80488913211756,
images/m1.jpg,images/squared.jpg,images/round.jpg,['pic_left'],['pic_right'],invalid,0,14,14,14,,,,,,,,,,74.68904301896691,None,75.21725380490534,None,76.20874511194415,None,76.20874511194415,None,0.1734375,-0.33125,1,0,0,0.8643266800791025,pic_right,1.0118072535842657,None,1,77.09382920595817,None,,,,,,,,,,,001,2021_Nov_02_1209,prep_only,2021.2.3,50.80488913211756,
images/m1.jpg,images/squared.jpg,images/round.jpg,['pic_left'],['pic_right'],invalid,0,15,15,15,,,,,,,,,,79.08886077092029,None,79.61233199597336,None,80.58774571702816,None,80.58774571702816,None,0.159375,-0.2859375,1,0,0,1.4271088470704854,pic_right,1.000471783336252,None,1,82.04190319706686,None,,,,,,,,,,,001,2021_Nov_02_1209,prep_only,2021.2.3,50.80488913211756,
images/m1.jpg,images/squared.jpg,images/round.jpg,['pic_left'],['pic_left'],valid,0,16,16,16,,,,,,,,,,84.04666441306472,None,84.57166602602229,None,85.57838227692991,None,85.57838227692991,None,-0.1375,-0.3078125,1,0,0,0.8279117299243808,pic_left,1.018486142391339,None,1,86.41459587891586,None,,,,,,,,,,,001,2021_Nov_02_1209,prep_only,2021.2.3,50.80488913211756,
images/m1.jpg,images/round.jpg,images/squared.jpg,['pic_left'],['pic_right'],invalid,0,17,17,17,,,,,,,,,,88.4086366740521,None,88.9287068808917,None,89.9185343820136,None,89.9185343820136,None,0.1578125,-0.3265625,1,0,0,0.8079082618933171,pic_right,1.0006838764529675,None,1,90.73450961103663,None,,,,,,,,,,,001,2021_Nov_02_1209,prep_only,2021.2.3,50.80488913211756,
images/m1.jpg,images/squared.jpg,images/round.jpg,['pic_left'],['pic_left'],valid,0,18,18,18,,,,,,,,,,92.72744167991914,None,93.25068822596222,None,94.2282704829704,None,94.2282704829704,None,0.1859375,-0.2890625,1,0,0,0.7214437401853502,pic_right,1.0034217254724354,None,0,94.9686045430135,None,,,,,,,,,,,001,2021_Nov_02_1209,prep_only,2021.2.3,50.80488913211756,
images/m1.jpg,images/round.jpg,images/squared.jpg,['pic_right'],['pic_right'],valid,0,19,19,19,,,,,,,,,,96.9675985488575,None,97.49971766001545,None,98.49822807405144,None,98.49822807405144,None,0.184375,-0.278125,1,0,0,0.8261613550130278,pic_right,1.003787703346461,None,1,99.33259142399766,None,,,,,,,,,,,001,2021_Nov_02_1209,prep_only,2021.2.3,50.80488913211756,
images/m1.jpg,images/round.jpg,images/squared.jpg,['pic_left'],['pic_right'],invalid,0,20,20,20,,,,,,,,,,101.32836490194313,None,101.85176597186364,None,102.8265037490055,None,102.8265037490055,None,0.184375,-0.278125,1,0,0,0.6260356958955526,pic_right,1.0047288704663515,None,1,103.4817894869484,None,,,,,,,,,,,001,2021_Nov_02_1209,prep_only,2021.2.3,50.80488913211756,
