cue,stim_left,stim_right,feedback,correct,is_valid,trial_all,loopTraining.thisRepN,loopTraining.thisTrialN,loopTraining.thisN,loopTraining.thisIndex,textWelcome.started,textWelcome.stopped,mouseWelcome.x,mouseWelcome.y,mouseWelcome.leftButton,mouseWelcome.midButton,mouseWelcome.rightButton,mouseWelcome.started,mouseWelcome.stopped,text.started,text.stopped,pic_cue.started,pic_cue.stopped,pic_left.started,pic_left.stopped,pic_right.started,pic_right.stopped,key.x,key.y,key.leftButton,key.midButton,key.rightButton,key.time,key.clicked_name,key.started,key.stopped,key.corr,textFeedback.started,textFeedback.stopped,participant,session,date,expName,psychopyVersion,frameRate,
images/m1.jpg,images/round.jpg,images/squared.jpg,['pic_right'],['pic_left'],invalid,12,0,11,11,11,,,,,,,,,,106.96712251892313,None,107.47867002780549,None,107.47867002780549,None,107.47867002780549,None,0.16666666666666666,-0.27685185185185185,1,0,0,1.3752572301309556,pic_right,0.009429644560441375,None,0,108.86524720699526,None,999,001,2022_Oct_27_0847,simple_RL,2021.2.3,60.24052653106472,
images/m1.jpg,images/round.jpg,images/squared.jpg,['pic_left'],['pic_left'],valid,13,0,12,12,12,,,,,,,,,,110.86720901494846,None,111.39521567500196,None,111.39521567500196,None,111.39521567500196,None,0.20555555555555555,-0.28703703703703703,1,0,0,1.2438570549711585,pic_right,0.009247590554878116,None,0,112.6481148910243,None,999,001,2022_Oct_27_0847,simple_RL,2021.2.3,60.24052653106472,
images/m1.jpg,images/squared.jpg,images/round.jpg,['pic_right'],['pic_right'],valid,14,0,13,13,13,,,,,,,,,,114.65019274898805,None,115.18085322203115,None,115.18085322203115,None,115.18085322203115,None,-0.26481481481481484,-0.28888888888888886,1,0,0,0.9422518191859126,pic_left,0.0072597244288772345,None,0,116.13217171491124,None,999,001,2022_Oct_27_0847,simple_RL,2021.2.3,60.24052653106472,
images/m1.jpg,images/round.jpg,images/squared.jpg,['pic_left'],['pic_left'],valid,15,0,14,14,14,,,,,,,,,,118.13227336993441,None,118.64717203797773,None,118.64717203797773,None,118.64717203797773,None,0.13333333333333333,-0.2861111111111111,1,0,0,10.77521077892743,pic_right,0.005624899175018072,None,0,129.4318448738195,None,999,001,2022_Oct_27_0847,simple_RL,2021.2.3,60.24052653106472,
images/m1.jpg,images/squared.jpg,images/round.jpg,['pic_right'],['pic_right'],valid,16,0,15,15,15,,,,,,,,,,131.43363816197962,None,131.94886041199788,None,131.94886041199788,None,131.94886041199788,None,0.1287037037037037,-0.2898148148148148,1,0,0,2.307507171994075,pic_right,0.0065751823130995035,None,1,134.26427672686987,None,999,001,2022_Oct_27_0847,simple_RL,2021.2.3,60.24052653106472,
images/m1.jpg,images/squared.jpg,images/round.jpg,['pic_right'],['pic_right'],valid,17,0,16,16,16,,,,,,,,,,136.26686688698828,None,136.78004334890284,None,136.78004334890284,None,136.78004334890284,None,0.1287037037037037,-0.2898148148148148,1,0,0,1.5436834341380745,pic_right,0.00797802652232349,None,1,138.33106554602273,None,999,001,2022_Oct_27_0847,simple_RL,2021.2.3,60.24052653106472,
images/m1.jpg,images/squared.jpg,images/round.jpg,['pic_left'],['pic_right'],invalid,18,0,17,17,17,,,,,,,,,,140.33205544785596,None,140.8445532338228,None,140.8445532338228,None,140.8445532338228,None,0.1287037037037037,-0.2898148148148148,1,0,0,0.676721862051636,pic_right,0.00817741546779871,None,1,141.5319933828432,None,999,001,2022_Oct_27_0847,simple_RL,2021.2.3,60.24052653106472,
images/m1.jpg,images/squared.jpg,images/round.jpg,['pic_right'],['pic_right'],valid,19,0,18,18,18,,,,,,,,,,143.532080455916,None,144.0456444208976,None,144.0456444208976,None,144.0456444208976,None,0.1287037037037037,-0.2898148148148148,1,0,0,0.4752788571640849,pic_right,0.006707721622660756,None,1,144.53139575989917,None,999,001,2022_Oct_27_0847,simple_RL,2021.2.3,60.24052653106472,
images/m1.jpg,images/round.jpg,images/squared.jpg,['pic_left'],['pic_left'],valid,20,0,19,19,19,,,,,,,,,,146.53367428900674,None,147.0650134559255,None,147.0650134559255,None,147.0650134559255,None,-0.15555555555555556,-0.225,1,0,0,1.1718773550819606,pic_left,0.005473030265420675,None,1,148.24835609691218,None,999,001,2022_Oct_27_0847,simple_RL,2021.2.3,60.24052653106472,
,,,,,,,,,,,,,,,,,,,,150.24860184290446,None,,,,,,,,,,,,,,,,,,,,,,,,,
